matip-type-b, 351/udp, bhoetty
dtag-ste-sb, 352/tcp, bhoedap4
dtag-ste-sb, 352/udp, bhoedap4
ndsauth, 353/tcp, NDSAUTH
ndsauth, 353/udp, NDSAUTH
bh611, 354/tcp, bh611
bh611, 354/udp, bh611
datex-asn, 355/tcp, DATEX-ASN
datex-asn, 355/udp, DATEX-ASN
cloanto-net-1, 356/tcp, 1
cloanto-net-1, 356/udp, 1
bhevent, 357/tcp, bhevent
bhevent, 357/udp, bhevent
shrinkwrap, 358/tcp, Shrinkwrap
shrinkwrap, 358/udp, Shrinkwrap
nsrmp, 359/tcp, Protocol
nsrmp, 359/udp, Protocol
scoi2odialog, 360/tcp, scoi2odialog
scoi2odialog, 360/udp, scoi2odialog
semantix, 361/tcp, Semantix
